caseId,activity,timestamp,lifecycle
507,0,2017-02-13 14:50:52,start
507,19,2017-02-13 14:50:52,start
507,19,2017-02-13 14:50:52,complete
507,24,2017-02-13 14:50:52,start
507,24,2017-02-13 14:50:52,complete
507,28,2017-02-13 14:50:52,start
507,28,2017-02-13 14:50:52,complete
507,0,2017-02-13 14:50:52,complete
507,2,2017-02-13 14:50:52,start
507,26,2017-02-13 14:50:52,start
507,26,2017-02-13 14:50:52,complete
507,37,2017-02-13 14:50:52,start
507,37,2017-02-13 14:50:52,complete
507,25,2017-02-13 14:50:52,start
507,25,2017-02-13 14:50:52,complete
507,2,2017-02-13 14:50:52,complete
507,7,2017-02-13 14:50:52,start
507,33,2017-02-13 14:50:52,start
507,33,2017-02-13 14:50:52,complete
507,7,2017-02-13 14:50:52,complete
507,1,2017-02-13 14:50:52,start
507,38,2017-02-13 14:50:52,start
507,38,2017-02-13 14:50:52,complete
507,1,2017-02-13 14:50:52,complete
507,17,2017-02-13 14:50:52,start
507,45,2017-02-13 14:50:52,start
507,45,2017-02-13 14:50:52,complete
507,17,2017-02-13 14:50:52,complete
2344,0,2017-02-13 14:50:55,start
2344,19,2017-02-13 14:50:55,start
2344,19,2017-02-13 14:50:55,complete
2344,24,2017-02-13 14:50:55,start
2344,24,2017-02-13 14:50:55,complete
2344,28,2017-02-13 14:50:55,start
2344,28,2017-02-13 14:50:55,complete
2344,0,2017-02-13 14:50:55,complete
2344,16,2017-02-13 14:50:55,start
2344,41,2017-02-13 14:50:55,start
2344,41,2017-02-13 14:50:55,complete
2344,16,2017-02-13 14:50:55,complete
2344,3,2017-02-13 14:50:55,start
2344,42,2017-02-13 14:50:55,start
2344,29,2017-02-13 14:50:55,start
2344,29,2017-02-13 14:50:55,complete
2344,21,2017-02-13 14:50:55,start
2344,21,2017-02-13 14:50:55,complete
2344,42,2017-02-13 14:50:55,complete
2344,20,2017-02-13 14:50:55,start
2344,20,2017-02-13 14:50:55,complete
2344,3,2017-02-13 14:50:55,complete
1452,0,2017-02-13 14:50:54,start
1452,19,2017-02-13 14:50:54,start
1452,19,2017-02-13 14:50:54,complete
1452,24,2017-02-13 14:50:54,start
1452,24,2017-02-13 14:50:54,complete
1452,28,2017-02-13 14:50:54,start
1452,28,2017-02-13 14:50:54,complete
1452,0,2017-02-13 14:50:54,complete
1452,10,2017-02-13 14:50:54,start
1452,35,2017-02-13 14:50:54,start
1452,35,2017-02-13 14:50:54,complete
1452,10,2017-02-13 14:50:54,complete
1452,13,2017-02-13 14:50:54,start
1452,39,2017-02-13 14:50:54,start
1452,39,2017-02-13 14:50:54,complete
1452,13,2017-02-13 14:50:54,complete
1452,2,2017-02-13 14:50:54,start
1452,26,2017-02-13 14:50:54,start
1452,26,2017-02-13 14:50:54,complete
1452,37,2017-02-13 14:50:54,start
1452,37,2017-02-13 14:50:54,complete
1452,25,2017-02-13 14:50:54,start
1452,25,2017-02-13 14:50:54,complete
1452,2,2017-02-13 14:50:54,complete
1452,11,2017-02-13 14:50:54,start
1452,44,2017-02-13 14:50:54,start
1452,44,2017-02-13 14:50:54,complete
1452,36,2017-02-13 14:50:54,start
1452,36,2017-02-13 14:50:54,complete
1452,11,2017-02-13 14:50:54,complete
168,0,2017-02-13 14:50:52,start
168,19,2017-02-13 14:50:52,start
168,19,2017-02-13 14:50:52,complete
168,24,2017-02-13 14:50:52,start
168,24,2017-02-13 14:50:52,complete
168,28,2017-02-13 14:50:52,start
168,28,2017-02-13 14:50:52,complete
168,0,2017-02-13 14:50:52,complete
168,2,2017-02-13 14:50:52,start
168,26,2017-02-13 14:50:52,start
168,26,2017-02-13 14:50:52,complete
168,37,2017-02-13 14:50:52,start
168,37,2017-02-13 14:50:52,complete
168,25,2017-02-13 14:50:52,start
168,25,2017-02-13 14:50:52,complete
168,2,2017-02-13 14:50:52,complete
168,5,2017-02-13 14:50:52,start
168,43,2017-02-13 14:50:52,start
168,30,2017-02-13 14:50:52,start
168,30,2017-02-13 14:50:52,complete
168,43,2017-02-13 14:50:52,complete
168,32,2017-02-13 14:50:52,start
168,27,2017-02-13 14:50:52,start
168,27,2017-02-13 14:50:52,complete
168,32,2017-02-13 14:50:52,complete
168,5,2017-02-13 14:50:52,complete
168,3,2017-02-13 14:50:52,start
168,42,2017-02-13 14:50:52,start
168,42,2017-02-13 14:50:52,complete
168,3,2017-02-13 14:50:52,complete
118,0,2017-02-13 14:50:52,start
118,19,2017-02-13 14:50:52,start
118,19,2017-02-13 14:50:52,complete
118,24,2017-02-13 14:50:52,start
118,24,2017-02-13 14:50:52,complete
118,28,2017-02-13 14:50:52,start
118,28,2017-02-13 14:50:52,complete
118,0,2017-02-13 14:50:52,complete
118,2,2017-02-13 14:50:52,start
118,26,2017-02-13 14:50:52,start
118,26,2017-02-13 14:50:52,complete
118,37,2017-02-13 14:50:52,start
118,37,2017-02-13 14:50:52,complete
118,25,2017-02-13 14:50:52,start
118,25,2017-02-13 14:50:52,complete
118,2,2017-02-13 14:50:52,complete
118,4,2017-02-13 14:50:52,start
118,31,2017-02-13 14:50:52,start
118,31,2017-02-13 14:50:52,complete
118,4,2017-02-13 14:50:52,complete
118,5,2017-02-13 14:50:52,start
118,43,2017-02-13 14:50:52,start
118,30,2017-02-13 14:50:52,start
118,30,2017-02-13 14:50:52,complete
118,43,2017-02-13 14:50:52,complete
118,32,2017-02-13 14:50:52,start
118,32,2017-02-13 14:50:52,complete
118,5,2017-02-13 14:50:52,complete
118,11,2017-02-13 14:50:52,start
118,44,2017-02-13 14:50:52,start
118,44,2017-02-13 14:50:52,complete
118,36,2017-02-13 14:50:52,start
118,36,2017-02-13 14:50:52,complete
118,11,2017-02-13 14:50:52,complete
178,0,2017-02-13 14:50:52,start
178,19,2017-02-13 14:50:52,start
178,19,2017-02-13 14:50:52,complete
178,24,2017-02-13 14:50:52,start
178,24,2017-02-13 14:50:52,complete
178,28,2017-02-13 14:50:52,start
178,28,2017-02-13 14:50:52,complete
178,0,2017-02-13 14:50:52,complete
178,2,2017-02-13 14:50:52,start
178,26,2017-02-13 14:50:52,start
178,26,2017-02-13 14:50:52,complete
178,37,2017-02-13 14:50:52,start
178,37,2017-02-13 14:50:52,complete
178,25,2017-02-13 14:50:52,start
178,25,2017-02-13 14:50:52,complete
178,2,2017-02-13 14:50:52,complete
178,10,2017-02-13 14:50:52,start
178,35,2017-02-13 14:50:52,start
178,35,2017-02-13 14:50:52,complete
178,10,2017-02-13 14:50:52,complete
178,14,2017-02-13 14:50:52,start
178,14,2017-02-13 14:50:52,complete
178,17,2017-02-13 14:50:52,start
178,45,2017-02-13 14:50:52,start
178,45,2017-02-13 14:50:52,complete
178,17,2017-02-13 14:50:52,complete
1532,0,2017-02-13 14:50:54,start
1532,19,2017-02-13 14:50:54,start
1532,19,2017-02-13 14:50:54,complete
1532,24,2017-02-13 14:50:54,start
1532,24,2017-02-13 14:50:54,complete
1532,28,2017-02-13 14:50:54,start
1532,28,2017-02-13 14:50:54,complete
1532,0,2017-02-13 14:50:54,complete
1532,10,2017-02-13 14:50:54,start
1532,35,2017-02-13 14:50:54,start
1532,35,2017-02-13 14:50:54,complete
1532,10,2017-02-13 14:50:54,complete
1532,17,2017-02-13 14:50:54,start
1532,45,2017-02-13 14:50:54,start
1532,45,2017-02-13 14:50:54,complete
1532,17,2017-02-13 14:50:54,complete
1532,9,2017-02-13 14:50:54,start
1532,34,2017-02-13 14:50:54,start
1532,34,2017-02-13 14:50:54,complete
1532,9,2017-02-13 14:50:54,complete
1532,18,2017-02-13 14:50:54,start
1532,46,2017-02-13 14:50:54,start
1532,21,2017-02-13 14:50:54,start
1532,21,2017-02-13 14:50:54,complete
1532,46,2017-02-13 14:50:54,complete
1532,20,2017-02-13 14:50:54,start
1532,20,2017-02-13 14:50:54,complete
1532,18,2017-02-13 14:50:54,complete
1537,0,2017-02-13 14:50:54,start
1537,19,2017-02-13 14:50:54,start
1537,19,2017-02-13 14:50:54,complete
1537,24,2017-02-13 14:50:54,start
1537,24,2017-02-13 14:50:54,complete
1537,28,2017-02-13 14:50:54,start
1537,28,2017-02-13 14:50:54,complete
1537,0,2017-02-13 14:50:54,complete
1537,10,2017-02-13 14:50:54,start
1537,35,2017-02-13 14:50:54,start
1537,35,2017-02-13 14:50:54,complete
1537,10,2017-02-13 14:50:54,complete
1537,12,2017-02-13 14:50:54,start
1537,12,2017-02-13 14:50:54,complete
1537,16,2017-02-13 14:50:54,start
1537,41,2017-02-13 14:50:54,start
1537,41,2017-02-13 14:50:54,complete
1537,16,2017-02-13 14:50:54,complete
1537,17,2017-02-13 14:50:54,start
1537,45,2017-02-13 14:50:54,start
1537,45,2017-02-13 14:50:54,complete
1537,17,2017-02-13 14:50:54,complete
2215,0,2017-02-13 14:50:55,start
2215,19,2017-02-13 14:50:55,start
2215,19,2017-02-13 14:50:55,complete
2215,24,2017-02-13 14:50:55,start
2215,24,2017-02-13 14:50:55,complete
2215,28,2017-02-13 14:50:55,start
2215,28,2017-02-13 14:50:55,complete
2215,0,2017-02-13 14:50:55,complete
2215,1,2017-02-13 14:50:55,start
2215,38,2017-02-13 14:50:55,start
2215,38,2017-02-13 14:50:55,complete
2215,1,2017-02-13 14:50:55,complete
2215,16,2017-02-13 14:50:55,start
2215,41,2017-02-13 14:50:55,start
2215,41,2017-02-13 14:50:55,complete
2215,16,2017-02-13 14:50:55,complete
2215,17,2017-02-13 14:50:55,start
2215,45,2017-02-13 14:50:55,start
2215,45,2017-02-13 14:50:55,complete
2215,17,2017-02-13 14:50:55,complete
1221,0,2017-02-13 14:50:53,start
1221,19,2017-02-13 14:50:53,start
1221,19,2017-02-13 14:50:53,complete
1221,24,2017-02-13 14:50:53,start
1221,24,2017-02-13 14:50:53,complete
1221,28,2017-02-13 14:50:53,start
1221,28,2017-02-13 14:50:53,complete
1221,0,2017-02-13 14:50:53,complete
1221,4,2017-02-13 14:50:53,start
1221,31,2017-02-13 14:50:53,start
1221,31,2017-02-13 14:50:53,complete
1221,4,2017-02-13 14:50:53,complete
1221,5,2017-02-13 14:50:53,start
1221,43,2017-02-13 14:50:53,start
1221,30,2017-02-13 14:50:53,start
1221,30,2017-02-13 14:50:53,complete
1221,29,2017-02-13 14:50:53,start
1221,29,2017-02-13 14:50:53,complete
1221,21,2017-02-13 14:50:53,start
1221,21,2017-02-13 14:50:53,complete
1221,43,2017-02-13 14:50:53,complete
1221,5,2017-02-13 14:50:53,complete
